budget,revenue,director,runtime,budget_adj,revenue_adj
150000000.0,1513528810.0,Colin Trevorrow,124.0,137999939.280026,1392445892.5238
150000000.0,378436354.0,George Miller,120.0,137999939.280026,348161292.489031
110000000.0,295238201.0,Robert Schwentke,119.0,101199955.47201899,271619025.407628
200000000.0,2068178225.0,J.J. Abrams,136.0,183999919.040035,1902723129.80182
190000000.0,1506249360.0,James Wan,137.0,174799923.08803302,1385748801.47052
135000000.0,532950503.0,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156.0,124199945.352024,490314247.02173096
155000000.0,440603537.0,Alan Taylor,125.0,142599937.256027,405355075.683766
108000000.0,595380321.0,Ridley Scott,141.0,99359956.2816192,547749654.3101519
74000000.0,1156730962.0,Kyle Balda|Pierre Coffin,91.0,68079970.0448131,1064192016.7955099
175000000.0,853708609.0,Pete Docter,94.0,160999929.16003102,785411574.698907
245000000.0,880674609.0,Sam Mendes,148.0,225399900.824043,810220283.783075
176000003.0,183987723.0,Lana Wachowski|Lilly Wachowski,124.0,161919931.51523,169268630.681802
15000000.0,36869414.0,Alex Garland,108.0,13799993.9280026,33919845.9552677
88000000.0,243637091.0,Chris Columbus,105.0,80959964.37761559,224146025.095748
280000000.0,1405035767.0,Joss Whedon,141.0,257599886.656049,1292632336.88177
44000000.0,155760117.0,Quentin Tarantino,167.0,40479982.18880779,143299244.588332
48000000.0,325771424.0,Olivier Megaton,109.0,44159980.5696085,299709578.207785
130000000.0,518602163.0,Peyton Reed,115.0,119599947.376023,477113780.029936
95000000.0,542351353.0,Kenneth Branagh,112.0,87399961.54401691,498963025.21626794
160000000.0,650523427.0,Francis Lawrence,136.0,147199935.232028,598481289.508232
190000000.0,209035668.0,Brad Bird,130.0,174799923.08803302,192312729.942398
30000000.0,91709827.0,Antoine Fuqua,123.0,27599987.856005296,84373003.7158783
110000000.0,470490832.0,Brad Peyton,114.0,101199955.47201899,432851374.985395
40000000.0,569651467.0,Sam Taylor-Johnson,125.0,36799983.808007106,524079119.045187
28000000.0,133346506.0,Adam McKay,130.0,25759988.665604897,122678731.54135801
150000000.0,682330139.0,Christopher McQuarrie,131.0,137999939.280026,627743451.672881
68000000.0,215863606.0,Seth MacFarlane,115.0,62559972.4736121,198594430.13845
81000000.0,403802136.0,Matthew Vaughn,130.0,74519967.21121441,371497801.660967
20000000.0,88346473.0,Tom McCarthy,128.0,18399991.9040035,81278719.39736341
61000000.0,311256926.0,Wes Ball,132.0,56119975.30721079,286356245.923251
14682588.308751501,29355203.0,Bill Condon,103.0,17620113.079708613,27006774.877019
49000000.0,102069268.0,Neill Blomkamp,120.0,45079980.164808705,93903685.2423785
29000000.0,287506194.0,Elizabeth Banks,115.0,26679988.260805104,264505582.09754303
40000000.0,162610473.0,Steven Spielberg,141.0,36799983.808007106,149601569.335309
58000000.0,150170815.0,Rob Letterman,103.0,53359976.5216103,138157089.01088
6000000.0,35401758.0,Lenny Abrahamson,117.0,5519997.57120106,32569603.029374603
14682588.308751501,22354572.0,Afonso Poyart,101.0,17620113.079708613,20566197.1908732
175000000.0,331926147.0,Peter Sohn,93.0,160999929.16003102,305371920.876354
50000000.0,71561644.0,Jaume Collet-Serra,114.0,45999979.7600089,65836683.5118592
11000000.0,62076141.0,John Crowley,111.0,10119995.5472019,57110024.5915891
28000000.0,201634991.0,F. Gary Gray,147.0,25759988.665604897,185504110.098191
90000000.0,140396650.0,Breck Eisner,106.0,82799963.56801601,129164861.16746101
30000000.0,34441873.0,Danny Boyle,122.0,27599987.856005296,31686509.2179359
75000000.0,108145109.0,Guy Ritchie,116.0,68999969.64001329,99493456.50287908
25000000.0,42629776.0,Lee Toland Krieger,112.0,22999989.8800044,39219376.6634742
10000000.0,14333790.0,Ilya Naishuller,97.0,9199995.95200178,13187080.9976843
135000000.0,368871007.0,Tim Johnson,94.0,124199945.352024,339361177.121082
12000000.0,85512300.0,Jake Schreier,109.0,11039995.1424021,78671281.38463621
30000000.0,39987822.37085297,Simon West,92.0,27599987.856005296,51576847.19128109
4000000.0,9064511.0,Yorgos Lanthimos,118.0,3679998.38080071,8339346.45068756
11800000.0,40272135.0,Todd Haynes,118.0,10855995.2233621,37050347.8978469
35000000.0,194564672.0,Nancy Meyers,121.0,32199985.8320062,178999419.480255
55000000.0,203427584.0,Baltasar KormÃ¡kur,121.0,50599977.7360098,187153294.93255
